41,98,19,20,0,3,0,0,0,0
53,176,22,22,0,5,2,4,760,0
78,184,26,42,0,4,0,0,0,0
37,100,23,15,0,5,2,4,675,0
53,172,29,24,0,10,0,0,0,0
60,195,23,30,0,6,1,1,410,0
32,93,20,18,0,0,1,8,2520,0
15,30,13,8,0,0,0,0,0,0
25,75,19,11,0,3,1,1,410,0
23,52,9,14,0,2,2,3,920,0
14,29,8,5,0,0,0,0,0,0
43,113,25,27,0,3,1,1,1060,0
62,192,26,27,0,5,2,3,860,0
80,252,27,36,0,4,2,3,1035,0
59,156,31,35,0,5,0,0,0,0
72,224,34,43,0,2,1,1,1060,0
39,108,25,16,0,1,1,1,1260,0
24,63,26,14,0,0,0,0,0,0
34,89,19,18,0,1,2,3,560,0
28,72,21,16,0,0,0,0,0,0
37,146,36,22,0,1,0,0,0,0
27,73,24,13,0,3,1,1,1060,0
27,76,25,20,0,3,0,0,0,0
24,66,25,16,0,0,0,0,0,0
28,79,23,14,0,2,0,0,0,0
31,205,47,14,0,2,2,3,455,0
51,230,37,23,0,7,1,1,1060,0
37,182,30,18,0,11,2,7,2720,0
37,169,21,14,0,6,4,6,1191,0
47,155,26,25,0,4,1,2,860,0
27,113,32,15,0,2,0,0,0,0
39,133,20,18,0,9,4,6,1195,0
47,164,34,25,0,4,0,0,0,0
51,129,23,31,0,7,1,2,1660,0
48,171,32,25,0,11,4,9,1038,0
40,133,27,27,0,3,0,0,0,0
48,147,35,21,0,0,0,0,0,0
29,97,26,12,0,1,0,0,0,0
28,75,23,12,0,1,1,1,460,0
21,74,23,9,0,0,0,0,0,0
31,88,27,18,0,3,2,2,1310,0
22,65,21,12,0,2,1,3,1260,0
28,78,22,14,0,2,0,0,0,0
48,128,31,20,0,1,0,0,0,0
43,134,38,28,0,2,1,1,460,0
31,111,38,16,0,1,0,0,0,0
29,113,40,21,0,0,0,0,0,0
43,188,28,17,0,13,3,9,967,0
56,202,37,31,0,2,0,0,0,0
56,160,18,27,0,3,0,0,0,0
89,280,32,51,0,8,0,0,0,0
153,587,38,66,0,14,4,6,1510,1
100,411,50,45,0,10,3,3,1060,0
64,232,26,36,0,7,2,3,1290,0
79,223,31,49,0,11,1,5,3320,0
115,361,45,61,0,5,0,0,0,0
78,235,27,37,0,4,1,1,1060,0
103,347,38,62,0,7,0,0,0,0
80,208,28,50,0,3,2,3,1360,0
124,368,33,65,0,11,1,2,1660,0
83,276,35,35,0,17,3,3,687,0
68,277,38,35,0,8,2,3,1360,0
45,129,23,22,0,3,1,2,960,0
21,63,22,16,0,0,0,0,0,0
37,96,35,21,0,0,0,0,0,0
35,98,30,18,0,1,0,0,0,0
38,85,22,30,0,1,0,0,0,0
21,38,19,15,0,4,0,0,0,0
29,85,22,13,0,0,0,0,0,0
32,67,19,24,0,0,0,0,0,0
38,135,37,19,0,4,0,0,0,0
29,59,23,18,0,2,0,0,0,0
36,115,28,17,0,2,0,0,0,0
39,144,34,25,0,2,0,0,0,0
47,182,28,23,0,5,0,0,0,0
102,457,48,58,0,16,4,6,1263,0
117,378,27,47,0,15,4,5,1260,0
92,345,49,43,0,10,3,3,1060,0
67,238,34,35,0,8,3,4,670,0
55,151,25,30,0,3,0,0,0,0
50,144,38,30,0,0,0,0,0,0
39,107,31,22,0,1,0,0,0,0
40,148,34,24,0,3,1,1,410,0
94,381,42,48,0,18,5,5,1034,0
98,334,26,50,0,11,6,8,1143,1
59,258,37,28,0,10,2,4,910,0
112,492,40,46,0,25,3,4,1193,0
168,757,57,85,0,23,3,3,1060,0
112,424,39,59,0,26,4,7,1535,1
64,310,47,33,0,4,0,0,0,0
62,354,39,29,0,16,2,3,488,0
61,276,41,34,0,11,0,0,0,0
56,254,35,34,0,6,1,3,1610,0
80,333,45,40,0,5,0,0,0,0
90,474,46,54,0,19,3,6,993,0
74,506,45,38,0,19,0,0,0,0
76,302,26,41,0,8,2,2,560,0
84,520,50,48,0,6,3,3,367,0
122,537,35,56,0,35,5,11,1818,1
80,315,42,45,0,11,4,4,595,0
73,261,43,44,0,11,2,3,1460,0
91,422,50,44,0,11,0,0,0,0
82,389,48,42,0,9,2,2,560,0
